"n","ID ADIS","Region","Code region","Province","Code province","Abbreviation province","Latitude","Longitude","No. animals","Species","HPAI strain","Confirmation date"
122,"IT-HPAI(NON-P)-2023-00074","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-02
123,"IT-HPAI(NON-P)-2023-00075","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-02
124,"IT-HPAI(NON-P)-2023-00076","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-09
125,"IT-HPAI(NON-P)-2023-00077","LOMBARDIA",3,"MANTOVA",20,"MN",45.15726772,10.79277363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-09
126,"IT-HPAI(NON-P)-2023-00078","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Yellow-legged gull (Larus michahellis)","H5N1",2023-03-13
127,"IT-HPAI(NON-P)-2023-00079","VENETO",5,"TREVISO",26,"TV",45.66754571,12.24507363,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-13
128,"IT-HPAI(NON-P)-2023-00080","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-13
129,"IT-HPAI(NON-P)-2023-00081","LOMBARDIA",3,"LECCO",97,"LC",45.85575781,9.393392246,2,"Anatidae (unidentified)","H5N1",2023-03-14
130,"IT-HPAI(NON-P)-2023-00082","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
131,"IT-HPAI(NON-P)-2023-00083","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
132,"IT-HPAI(NON-P)-2023-00084","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
133,"IT-HPAI(NON-P)-2023-00085","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
134,"IT-HPAI(NON-P)-2023-00086","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
135,"IT-HPAI(NON-P)-2023-00087","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
136,"IT-HPAI(NON-P)-2023-00088","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
137,"IT-HPAI(NON-P)-2023-00089","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
138,"IT-HPAI(NON-P)-2023-00090","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
139,"IT-HPAI(NON-P)-2023-00091","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
140,"IT-HPAI(NON-P)-2023-00092","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-14
141,"IT-HPAI(NON-P)-2023-00093","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-02
142,"IT-HPAI(NON-P)-2023-00094","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,16,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
143,"IT-HPAI(NON-P)-2023-00095","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,78,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
144,"IT-HPAI(NON-P)-2023-00096","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,20,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
145,"IT-HPAI(NON-P)-2023-00097","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,5,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
146,"IT-HPAI(NON-P)-2023-00098","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,15,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
147,"IT-HPAI(NON-P)-2023-00099","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
148,"IT-HPAI(NON-P)-2023-00100","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
149,"IT-HPAI(NON-P)-2023-00101","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-16
150,"IT-HPAI(NON-P)-2023-00102","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-06
151,"IT-HPAI(NON-P)-2023-00103","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,11,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
152,"IT-HPAI(NON-P)-2023-00104","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,12,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
153,"IT-HPAI(NON-P)-2023-00105","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
154,"IT-HPAI(NON-P)-2023-00106","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
155,"IT-HPAI(NON-P)-2023-00107","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
156,"IT-HPAI(NON-P)-2023-00108","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,3,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
157,"IT-HPAI(NON-P)-2023-00109","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,4,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
158,"IT-HPAI(NON-P)-2023-00110","LOMBARDIA",3,"BERGAMO",16,"BG",45.69441368,9.668424528,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
159,"IT-HPAI(NON-P)-2023-00111","VENETO",5,"PADOVA",28,"PD",45.40692987,11.87608718,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-16
160,"IT-HPAI(NON-P)-2023-00112","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-16
161,"IT-HPAI(NON-P)-2023-00113","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Yellow-legged gull (Larus michahellis)","H5N1",2023-03-16
162,"IT-HPAI(NON-P)-2023-00114","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-16
163,"IT-HPAI(NON-P)-2023-00115","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
164,"IT-HPAI(NON-P)-2023-00116","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
165,"IT-HPAI(NON-P)-2023-00117","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Peregrin falcon (Falco peregrinus)","H5N1",2023-03-17
166,"IT-HPAI(NON-P)-2023-00118","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Peregrin falcon (Falco peregrinus)","H5N1",2023-03-17
167,"IT-HPAI(NON-P)-2023-00119","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
168,"IT-HPAI(NON-P)-2023-00120","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
169,"IT-HPAI(NON-P)-2023-00121","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
170,"IT-HPAI(NON-P)-2023-00122","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
171,"IT-HPAI(NON-P)-2023-00123","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
172,"IT-HPAI(NON-P)-2023-00124","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-10
173,"IT-HPAI(NON-P)-2023-00125","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Little egret (Egretta garzetta)","H5N1",2023-03-21
174,"IT-HPAI(NON-P)-2023-00126","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
175,"IT-HPAI(NON-P)-2023-00127","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
176,"IT-HPAI(NON-P)-2023-00128","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
177,"IT-HPAI(NON-P)-2023-00129","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-21
178,"IT-HPAI(NON-P)-2023-00130","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-21
179,"IT-HPAI(NON-P)-2023-00131","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-21
180,"IT-HPAI(NON-P)-2023-00132","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-21
181,"IT-HPAI(NON-P)-2023-00133","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-21
182,"IT-HPAI(NON-P)-2023-00134","VENETO",5,"VERONA",23,"VR",45.43839046,10.99352685,1,"Yellow-legged gull (Larus michahellis)","H5N1",2023-03-22
183,"IT-HPAI(NON-P)-2023-00135","LOMBARDIA",3,"MONZA E BRIANZA",108,"MB",45.58439043,9.273582472,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-17
184,"IT-HPAI(NON-P)-2023-00136","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-21
185,"IT-HPAI(NON-P)-2023-00137","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-24
186,"IT-HPAI(NON-P)-2023-00138","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-23
187,"IT-HPAI(NON-P)-2023-00139","P.A. TRENTO",22,"TRENTO",22,"TN",46.06893511,11.12123097,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
188,"IT-HPAI(NON-P)-2023-00140","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
189,"IT-HPAI(NON-P)-2023-00141","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
190,"IT-HPAI(NON-P)-2023-00141","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
191,"IT-HPAI(NON-P)-2023-00143","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,2,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
192,"IT-HPAI(NON-P)-2023-00144","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
193,"IT-HPAI(NON-P)-2023-00145","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
194,"IT-HPAI(NON-P)-2023-00146","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
195,"IT-HPAI(NON-P)-2023-00147","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
196,"IT-HPAI(NON-P)-2023-00148","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
197,"IT-HPAI(NON-P)-2023-00149","LOMBARDIA",3,"BERGAMO",16,"BG",45.69441368,9.668424528,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
198,"IT-HPAI(NON-P)-2023-00150","PIEMONTE",1,"BIELLA",96,"BI",45.5665112,8.054082167,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
199,"IT-HPAI(NON-P)-2023-00151","PIEMONTE",1,"BIELLA",96,"BI",45.5665112,8.054082167,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-29
200,"IT-HPAI(NON-P)-2023-00152","LOMBARDIA",3,"VARESE",12,"VA",45.81701677,8.822868344,1,"Common woodpigeon (Columba palumbus)","H5N1",2023-03-29
201,"IT-HPAI(NON-P)-2023-00153","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-04-03
202,"IT-HPAI(NON-P)-2023-00154","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Eurasian oystercatcher (Haematopus ostralegus)","H5N1",2023-04-03
203,"IT-HPAI(NON-P)-2023-00155","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-04-03
204,"IT-HPAI(NON-P)-2023-00156","EMILIA ROMAGNA",8,"RIMINI",99,"RN",44.06090087,12.5656295,1,"Common kestrel (Falco tinnunculus)","H5N1",2023-04-03
205,"IT-HPAI(NON-P)-2023-00157","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-04-03
206,"IT-HPAI(NON-P)-2023-00160","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-04-04
207,"IT-HPAI(NON-P)-2023-00161","LOMBARDIA",3,"BERGAMO",16,"BG",45.69441368,9.668424528,1,"Laridae","H5N1",2023-04-05
208,"IT-HPAI(NON-P)-2023-00162","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Laridae","H5N1",2023-04-06
209,"IT-HPAI(NON-P)-2023-00163","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Laridae","H5N1",2023-04-06
210,"IT-HPAI(NON-P)-2023-00164","LOMBARDIA",3,"BRESCIA",17,"BS",45.53993052,10.21910323,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-04-06
211,"IT-HPAI(NON-P)-2023-00165","EMILIA ROMAGNA",8,"BOLOGNA",37,"BO",44.49436681,11.3417208,1,"Peregrin falcon (Falco peregrinus)","H5N1",2023-04-07
212,"IT-HPAI(NON-P)-2023-00166","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-04-13
213,"IT-HPAI(NON-P)-2023-00167","VENETO",5,"VICENZA",24,"VI",45.547497,11.54597109,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-04-12
214,"IT-HPAI(NON-P)-2023-00168","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-04-13
215,"IT-HPAI(NON-P)-2023-00169","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Common kestrel (Falco tinnunculus)","H5N1",2023-04-05
216,"IT-HPAI(NON-P)-2023-00170","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-03-16
217,"IT-HPAI(NON-P)-2023-00171","LOMBARDIA",3,"MILANO",15,"MI",45.46679409,9.190347404,1,"Carrion Crow (Corvus corone)","H5N1",2023-03-16
218,"IT-HPAI(NON-P)-2023-00172","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-06-16
219,"IT-HPAI(NON-P)-2023-00173","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-06-16
220,"IT-HPAI(NON-P)-2023-00174","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,6,"Slender-billed gull (Chroicocephalus genei)","H5N1",2023-06-16
221,"IT-HPAI(NON-P)-2023-00175","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-06-20
222,"IT-HPAI(NON-P)-2023-00176","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,31,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-06-21
223,"IT-HPAI(NON-P)-2023-00177","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-06-28
224,"IT-HPAI(NON-P)-2023-00178","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,12,"Slender-billed gull (Chroicocephalus genei)","H5N1",2023-06-28
225,"IT-HPAI(NON-P)-2023-00179","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,2,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-06-28
226,"IT-HPAI(NON-P)-2023-00180","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-06-28
227,"IT-HPAI(NON-P)-2023-00181","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,4,"Sandwich tern (Thalasseus sandvicensis), Mediterranean gull (Ichthyaetus melanocephalus)","H5N1",2023-06-26
228,"IT-HPAI(NON-P)-2023-00182","VENETO",5,"VENEZIA",27,"VE",45.43490485,12.33845213,1,"Yellow-legged gull (Larus michahellis)","H5N1",2023-06-30
229,"IT-HPAI(NON-P)-2023-00183","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-07-05
230,"IT-HPAI(NON-P)-2023-00184","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-07-05
231,"IT-HPAI(NON-P)-2023-00185","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-07-05
232,"IT-HPAI(NON-P)-2023-00186","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,8,"Sandwich tern (Thalasseus sandvicensis), Black headed gull (Chroicocephalus ridibundus)
","H5N1",2023-07-05
233,"IT-HPAI(NON-P)-2023-00187","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-07-05
234,"IT-HPAI(NON-P)-2023-00188","EMILIA ROMAGNA",8,"FORLI-CESENA",40,"FC",44.22268559,12.04068608,1,"Black headed gull (Chroicocephalus ridibundus)","H5N1",2023-07-11
235,"IT-HPAI(NON-P)-2023-00189","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Common stern (Sterna hirundo)","H5N1",2023-07-19
236,"IT-HPAI(NON-P)-2023-00190","EMILIA ROMAGNA",8,"RAVENNA",39,"RA",44.41722493,12.19913936,1,"Sandwich tern (Thalasseus sandvicensis)","H5N1",2023-07-11
237,"IT-HPAI(NON-P)-2023-00191","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Common stern (Sterna hirundo)","H5N1",2023-07-19
238,"IT-HPAI(NON-P)-2023-00192","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,3,"Common stern (Sterna hirundo)","H5N1",2023-07-11
239,"IT-HPAI(NON-P)-2023-00193","EMILIA ROMAGNA",8,"FERRARA",38,"FE",44.83599085,11.61868934,1,"Common stern (Sterna hirundo)","H5N1",2023-07-19
